id,qname,heading,text,type,diagram,website,updated
,Event,Event,"An event happening at a certain time and location, such as a concert, lecture, or festival. Ticketing information may be added via the [[offers]] property. Repeated events may be structured as separate Event objects.",Class,http://schema.org/diagrams/Event.dot.svg,http://schema.org/Event,2026-07-24T12:31:48.132193
,Patient,Patient,A patient is any person recipient of health care services.,Class,http://schema.org/diagrams/Patient.dot.svg,http://schema.org/Patient,2026-07-24T12:31:48.132193
,ConvenienceStore,ConvenienceStore,A convenience store.,Class,http://schema.org/diagrams/ConvenienceStore.dot.svg,http://schema.org/ConvenienceStore,2026-07-24T12:31:48.132193
,TouristDestination,TouristDestination,"A tourist destination. In principle any [[Place]] can be a [[TouristDestination]] from a [[City]], Region or [[Country]] to an [[AmusementPark]] or [[Hotel]]. This Type can be used on its own to describe a general [[TouristDestination]], or be used as an [[additionalType]] to add tourist relevant properties to any other [[Place]].  A [[TouristDestination]] is defined as a [[Place]] that contains, or is colocated with, one or more [[TouristAttraction]]s, often linked by a similar theme or interes",Class,http://schema.org/diagrams/TouristDestination.dot.svg,http://schema.org/TouristDestination,2026-07-24T12:31:48.132193
,DanceEvent,DanceEvent,Event type: A social dance.,Class,http://schema.org/diagrams/DanceEvent.dot.svg,http://schema.org/DanceEvent,2026-07-24T12:31:48.132193
,Blog,Blog,"A [blog](https://en.wikipedia.org/wiki/Blog), sometimes known as a ""weblog"". Note that the individual posts ([[BlogPosting]]s) in a [[Blog]] are often colloquially referred to by the same term.",Class,http://schema.org/diagrams/Blog.dot.svg,http://schema.org/Blog,2026-07-24T12:31:48.132193
,CheckInAction,CheckInAction,"The act of an agent communicating (service provider, social media, etc) their arrival by registering/confirming for a previously reserved service (e.g. flight check-in) or at a place (e.g. hotel), possibly resulting in a result (boarding pass, etc).\n\nRelated actions:\n\n* [[CheckOutAction]]: The antonym of CheckInAction.\n* [[ArriveAction]]: Unlike ArriveAction, CheckInAction implies that the agent is informing/confirming the start of a previously reserved service.\n* [[ConfirmAction]]: Unlike",Class,http://schema.org/diagrams/CheckInAction.dot.svg,http://schema.org/CheckInAction,2026-07-24T12:31:48.132193
,PodcastSeason,PodcastSeason,"A single season of a podcast. Many podcasts do not break down into separate seasons. In that case, PodcastSeries should be used.",Class,http://schema.org/diagrams/PodcastSeason.dot.svg,http://schema.org/PodcastSeason,2026-07-24T12:31:48.132193
,Offer,Offer,"An offer to transfer some rights to an item or to provide a service — for example, an offer to sell tickets to an event, to rent the DVD of a movie, to stream a TV show over the internet, to repair a motorcycle, or to loan a book.\n\nNote: As the [[businessFunction]] property, which identifies the form of offer (e.g. sell, lease, repair, dispose), defaults to http://purl.org/goodrelations/v1#Sell; an Offer without a defined businessFunction value can be assumed to be an offer to sell.\n\nFor [GT",Class,http://schema.org/diagrams/Offer.dot.svg,http://schema.org/Offer,2026-07-24T12:31:48.132193
,OceanBodyOfWater,OceanBodyOfWater,"An ocean (for example, the Pacific).",Class,http://schema.org/diagrams/OceanBodyOfWater.dot.svg,http://schema.org/OceanBodyOfWater,2026-07-24T12:31:48.132193
,MovieClip,MovieClip,A short segment/part of a movie.,Class,http://schema.org/diagrams/MovieClip.dot.svg,http://schema.org/MovieClip,2026-07-24T12:31:48.132193
,CompleteDataFeed,CompleteDataFeed,"A [[CompleteDataFeed]] is a [[DataFeed]] whose standard representation includes content for every item currently in the feed.

This is the equivalent of Atom's element as defined in Feed Paging and Archiving [RFC 5005](https://tools.ietf.org/html/rfc5005), for example (and as defined for Atom), when using data from a feed that represents a collection of items that varies over time (e.g. ""Top Twenty Records"") there is no need to have newer entries mixed in alongside older, obsolete entries. By ma",Class,http://schema.org/diagrams/CompleteDataFeed.dot.svg,http://schema.org/CompleteDataFeed,2026-07-24T12:31:48.132193
,PostalCodeRangeSpecification,PostalCodeRangeSpecification,"Indicates a range of postal codes, usually defined as the set of valid codes between [[postalCodeBegin]] and [[postalCodeEnd]], inclusively.",Class,http://schema.org/diagrams/PostalCodeRangeSpecification.dot.svg,http://schema.org/PostalCodeRangeSpecification,2026-07-24T12:31:48.132193
,DislikeAction,DislikeAction,"The act of expressing a negative sentiment about the object. An agent dislikes an object (a proposition, topic or theme) with participants.",Class,http://schema.org/diagrams/DislikeAction.dot.svg,http://schema.org/DislikeAction,2026-07-24T12:31:48.132193
,AnatomicalStructure,AnatomicalStructure,"Any part of the human body, typically a component of an anatomical system. Organs, tissues, and cells are all anatomical structures.",Class,http://schema.org/diagrams/AnatomicalStructure.dot.svg,http://schema.org/AnatomicalStructure,2026-07-24T12:31:48.132193
,HowToDirection,HowToDirection,A direction indicating a single action to do in the instructions for how to achieve a result.,Class,http://schema.org/diagrams/HowToDirection.dot.svg,http://schema.org/HowToDirection,2026-07-24T12:31:48.132193
